user_ids,accent,transcript,audio_paths,audio_ids,domain,duration
cfeff877cccff0af362791b70d74807862da77e349d083a3b710f9f7e69d2dc40be216c056cc7b5153934c29b74abbbeb11d3d0966546d6f2b985782ea01413e,"India and South Asia (India, Pakistan, Sri Lanka)","Hexum said his phone was ""ringing off the hook"" after Lewis' performance.",common_voice_en_27228898.mp3,common_voice_en_27228898,general,3
29b8505586cd43382cd695da6b943f401104be710a5b60e814ac5fe7e06b39459cf8fe1701ca83f8154b3ccd749df7c2aef33ff23950bb1a135b1e1c393dbcf6,"India and South Asia (India, Pakistan, Sri Lanka)",It is named after Carl Friedrich Gauss.,common_voice_en_20170460.mp3,common_voice_en_20170460,general,3
51b2771333aee3c5b1f25421377564e5ea17337c6c9f2155bfba6aabe7e25871354490f65b9daafb4195c3e6e32f61df398b92cf2da8a475ba38e5b3bacb6096,"India and South Asia (India, Pakistan, Sri Lanka)",After being released from jail he joined the Jan Sangh.,common_voice_en_23353618.mp3,common_voice_en_23353618,general,3
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,"India and South Asia (India, Pakistan, Sri Lanka)",Her original pictorial was photographed by Sam Wu.,common_voice_en_20528164.mp3,common_voice_en_20528164,general,4
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,"India and South Asia (India, Pakistan, Sri Lanka)",His mother was from Middlesbrough.,common_voice_en_19590743.mp3,common_voice_en_19590743,general,3
e31822077e104d2f1781db7ce098c016abca0314515a35f564b26c30e59c0d2a0206cdf020dfbfe4e7340388f898c34d51e2d625681694a797c49581af656fba,"India and South Asia (India, Pakistan, Sri Lanka)",Nin was historically important as a centre of a medieval Christian Bishopric.,common_voice_en_27075148.mp3,common_voice_en_27075148,general,4
197dd6156c583d549bc300fc633b2cc0c692a81cf78d870196005435ef5ec19d0e7ddb7ad25f6da10a9051e6a7e8d4a95a2cf7aed12a753681944411bc75bdd3,Hong Kong English,Mooney became a ringmaster with the Gatti-Charles Circus.,common_voice_en_22474662.mp3,common_voice_en_22474662,general,4
b644ae3b2f82a9ef3f6143326617509097ed4337fc0123d4b854be26cbcfba78bcc9d370d1272c725e15370c6ab4220d608d578780b592047cae1edbaf1d7d0e,"India and South Asia (India, Pakistan, Sri Lanka)","He reassures her, giving Rama's signet ring as a sign of good faith.",common_voice_en_28742020.mp3,common_voice_en_28742020,general,4
9fd4e995e2a1006fefe786c28652f48e73f08f4f7594ce46ceff1d484619f105d759521e5b0d17b4d428e9e536524e229fab1ae9ab61b09e0e0da15cab5fef74,"India and South Asia (India, Pakistan, Sri Lanka)",Laurie's mother Gail was one of these women.,common_voice_en_21274940.mp3,common_voice_en_21274940,general,3
15a22f0c0e1dd85bdeda7f733a831454f10c38f6da86b6c258157e616996b120ecdd47cf96cfbeeefbd455c03725780ef1ba4d4351013b20a20553c55db492dd,Filipino,Giles tells Buffy that he has found a ritual to revoke a vampire's invitation.,common_voice_en_18709272.mp3,common_voice_en_18709272,general,3
